Rank,Player,Team,Position,Grade,Risk,Age,ETA,High,Low,Ralph,Lance,Eddy,Jason,Matt,JP
71,Jon Duplantier,Diamondbacks,RHP,50,Moderate,24,2019,56,148,148,62,99,57,66,56
72,Triston McKenzie,Indians,RHP,55,Moderate,21,2020,39,148,88,148,59,39,85,73
73,Deivi Garcia,Yankees,RHP,50,High,20,2020,63,148,77,148,75,70,63,70
74,Brusdar Graterol,Twins,RHP,55,Moderate,20,2021,41,148,41,94,81,148,52,89
75,Nate Lowe,Rays,1B,50,Moderate,23,2019,49,148,73,148,49,85,78,72
76,Matthew Liberatore,Rays,LHP,50,Moderate,19,2020,70,99,70,97,82,99,82,79
77,Sean Murphy,A's,C,50,Low,24,2020,47,148,72,47,148,148,49,59
78,Estevan Florial,Yankees,OF,50,High,21,2020,58,148,89,77,58,69,83,148
79,Cole Winn,Rangers,RHP,50,Moderate,19,2022,63,148,65,98,148,63,89,67
80,Bubba Thompson,Rangers,OF,50,Moderate,21,2022,66,148,66,148,68,95,91,75
81,Justus Sheffield,Mariners,LHP,50,Low,23,2019,67,148,67,69,148,86,81,92
82,Victor Victor Mesa,Marlins,OF,50,High,22,2020,43,148,60,75,89,148,43,148
83,William Contreras,Braves,C,50,Moderate,21,2021,53,148,53,148,148,62,68,85
84,Adrian Morejon,Padres,LHP,50,High,20,2020,45,148,92,45,100,92,94,148
85,Alec Bohm,Phillies,3B,50,Moderate,22,2020,58,148,148,65,72,148,87,58
86,Isaac Paredes,Tigers,SS,50,High,20,2019,53,148,75,92,148,53,75,148
87,George Valera,Indians,OF,60,Extreme,18,2022,69,148,69,148,86,87,77,148
88,Jordyn Adams,Angels,OF,60,Extreme,19,2023,60,148,98,148,60,148,93,77
89,Ronny Mauricio,Mets,SS,60,Extreme,18,2022,68,148,100,68,69,97,148,148
90,Brandon Lowe,Rays,2B,50,Low,24,2019,80,148,148,80,93,83,148,81
91,Travis Swaggerty,Pirates,OF,55,Moderate,21,2021,47,148,148,85,148,77,148,47
92,Hans Crouse,Rangers,RHP,50,High,20,2021,74,148,90,148,148,100,98,74
93,Cole Tucker,Pirates,SS,55,Moderate,22,2019,67,148,148,67,95,148,69,148
94,Ryan McKenna,Orioles,OF,55,Low,22,2020,49,148,148,148,96,91,148,49
95,Mark Vientos,Mets,SS,50,High,19,2022,78,148,81,148,78,82,148,148
96,Luiz Gohara,Braves,LHP,50,Moderate,22,2019,73,148,148,91,85,73,148,148
97,D.L. Hall,Orioles,LHP,50,High,20,2021,74,148,74,148,148,148,90,88
98,Griffin Canning,Angels,RHP,50,High,23,2019,62,148,62,99,148,148,99,148
99,Luis Garcia (PHI),Phillies,SS,50,High,18,2022,72,148,94,148,148,72,95,148
100,Tyler Nevin,Rockies,1B,50,Low,22,2020,76,148,91,148,94,148,148,76
,Michel Baez,Padres,RHP,50,High,22,2020,44,148,148,44,148,89,148,148
,Hudson Potts,Padres,3B,50,Moderate,20,2020,91,148,95,148,91,148,148,96
,Eric Pardinho,Blue Jays,RHP,50,Extreme,18,2022,92,148,99,148,98,148,92,148
,Seuly Matias,Royals,OF,50,High,22,2022,50,148,148,50,148,148,148,91
,Jahmai Jones,Angels,2B,50,Moderate,21,2020,53,148,148,90,148,148,148,53
,Oneil Cruz,Pirates,SS,50,High,20,2021,66,148,148,66,148,78,148,148
,Brady Singer,Royals,RHP,50,Moderate,22,2020,68,148,148,148,148,68,80,148
,Heliot Ramos,Giants,OF,50,High,19,2022,65,148,85,148,148,148,148,65
,Daulton Varsho,Diamondbacks,C,50,Moderate,22,2021,71,148,80,148,71,148,148,148
,Monte Harrison,Marlins,OF,50,High,23,2020,74,148,148,74,148,148,148,78
,Julio Pablo Martinez,Rangers,OF,50,Moderate,23,2021,81,148,148,148,148,81,148,82
,Ronaldo Hernandez,Rays,C,50,High,21,2021,79,148,148,148,79,148,86,148
,Andrew Knizner,Cardinals,C,50,Low,23,2019,80,148,148,87,148,148,148,80
,Dustin May,Dodgers,RHP,50,Moderate,20,2020,80,148,148,148,80,148,88,148
,Jonathan Loaisiga,Yankees,RHP,50,Low,24,2019,82,148,82,148,87,148,148,148
,Jordan Groshans,Blue Jays,3B,50,High,19,2022,84,148,148,148,84,148,96,148
,Yu Chang,Indians,SS,50,Low,23,2019,81,148,148,81,148,148,148,100
,Marco Luciano,Giants,3B,60,Extreme,17,2023,88,148,148,148,88,148,148,95
,Xavier Edwards,Padres,SS,50,High,19,2021,97,148,97,148,148,148,148,97
,Khalil Lee,Royals,OF,50,High,20,2022,55,148,148,148,55,148,148,148
,Anderson Espinoza,Padres,RHP,50,High,20,2021,58,148,148,58,148,148,148,148
,Justin Dunn,Mariners,RHP,50,Moderate,23,2020,58,148,148,148,148,58,148,148
,Will Smith,Dodgers,C,50,Moderate,23,2019,60,148,148,60,148,148,148,148
,Nicky Lopez,Royals,SS,50,Low,24,2019,69,148,148,148,148,148,148,69
,Brandon Marsh,Angels,OF,50,High,21,2020,73,148,148,73,148,148,148,148
,Kevin Smith,Blue Jays,SS,50,Moderate,22,2020,76,148,148,148,76,148,148,148
,Michael King,Yankees,RHP,50,Moderate,23,2019,79,148,148,148,148,79,148,148
,Elehuris Montero,Cardinals,3B,50,Moderate,20,2020,83,148,148,148,83,148,148,148
,Shed Long,Mariners,2B,50,Moderate,23,2020,84,148,148,84,148,148,148,148
,Josh Naylor,Padres,1B/OF,50,Moderate,21,2020,86,148,148,148,148,148,148,86
,Braxton Garrett,Marlins,LHP,50,High,21,2022,86,148,148,86,148,148,148,148
,Lucius Fox,Rays,SS,50,High,21,2020,87,148,148,148,148,148,148,87
,Brock Burke,Rangers,LHP,50,Moderate,22,2020,88,148,148,148,148,88,148,148
,Micker Adolfo,White Sox,OF,50,Moderate,22,2021,88,148,148,88,148,148,148,148
,Isan Diaz,Marlins,2B,50,High,22,2019,89,148,148,89,148,148,148,148
,Brayan Rocchio,Indians,SS,50,Extreme,18,2022,90,148,148,148,90,148,148,148
,Esteury Ruiz,Padres,2B,50,High,19,2021,90,148,148,148,148,90,148,148
,Miguel Amaya,Cubs,C,50,Low,20,2022,93,148,148,148,148,148,148,93
,Colton Welker,Rockies,3B,50,Moderate,21,2021,93,148,93,148,148,148,148,148
,Luis Alexander Basabe,White Sox,OF,50,Low,22,2020,93,148,148,93,148,148,148,148
,Corbin Martin,Astros,RHP,50,Low,22,2020,96,148,96,148,148,148,148,148
,Dane Dunning,White Sox,RHP,50,Low,24,2019,96,148,148,96,148,148,148,148
,Daniel Lynch,Royals,LHP,50,High,22,2020,97,148,148,148,148,148,97,148
,Dakota Hudson,Cardinals,RHP,50,Low,24,2019,98,148,148,148,148,148,148,98
,Jake Rogers,Tigers,C,50,Low,23,2019,98,148,148,148,148,98,148,148
,Julio Rodriguez,Mariners,OF,50,High,18,2023,100,148,148,148,148,148,100,148
